,month,cat,predicted units,predicted sales,hk 2021-2023 sale,top demand account,customer,business channel,department
150,2023-05,SEN,2897,25046,619012195.13,903670,Factory Motor Parts,WD,WD
162,2023-06,CAL,6066,868127,1917588685.86,900003OH,Summit Racing,B2B,performance
163,2023-06,COL,138,12895,3840686.01,902760,Turn 5 Inc,B2B,performance
165,2023-06,OEC,2592,122817,1594007689.19,903670,Factory Motor Parts,WD,WD
167,2023-06,ESP,510,14380,158764905.62,903670,Factory Motor Parts,WD,WD
168,2023-06,NXT,6149,152116,1002190007.74,903580,Parts Authority,WD,WD
171,2023-06,PST,560,41030,94581283.8,903670,Factory Motor Parts,WD,WD
172,2023-06,SHS,10349,189941,1545172204.99,903670,Factory Motor Parts,WD,WD
174,2023-06,Z16,13667,305536,2650234635.87,903580,Parts Authority,WD,WD
175,2023-06,Z17,171746,3951551,17227474102.64,903670,Factory Motor Parts,WD,WD
176,2023-06,Z23,14590,572504,1826978746.87,903670,Factory Motor Parts,WD,WD
177,2023-06,Z26,6019,315061,617743510.47,903670,Factory Motor Parts,WD,WD
178,2023-06,Z36,23927,1067558,2830528328.65,903670,Factory Motor Parts,WD,WD
179,2023-06,Z37,1068,44654,208083238.28,903670,Factory Motor Parts,WD,WD
182,2023-06,C36,1345,736297,461130720.68,900066,Amazon,B2B,performance
183,2023-06,CRK,7037,1135271,1054127473.62,900066,Amazon,B2B,performance
184,2023-06,DBU,83,60335,14130145.74,900066,Amazon,B2B,performance
186,2023-06,ESK,397,67429,196313381.83,903670,Factory Motor Parts,WD,WD
191,2023-06,K26,3128,849603,1390169003.06,900003OH,Summit Racing,B2B,performance
192,2023-06,K36,10957,3303371,2717213177.05,900066,Amazon,B2B,performance
196,2023-06,KIT,15306,3703929,5713813086.4,900066,Amazon,B2B,performance
200,2023-06,OEK,35868,4535209,3800050074.23,900066,Amazon,B2B,performance
203,2023-06,TDK,40,6503,11982265.790000001,903670,Factory Motor Parts,WD,WD
204,2023-06,TDS,14,1846,20337270.790000003,903980,Parts Authority,WD,WD
207,2023-06,DSL,9642,1385044,3159320413.06,903670,Factory Motor Parts,WD,WD
209,2023-06,EVC,62226,2781719,10163241965.35,900120,TPH Holdings,WD,WD
211,2023-06,MVD,12445,370630,119906031.42,900751,Mavis Tire Supply  Corp,WD,WD
214,2023-06,RTR,9965,403297,3632347374.5,900120,TPH Holdings,WD,WD
215,2023-06,SCR,11016,410484,351980464.71999997,900120,TPH Holdings,WD,WD
220,2023-06,BRG,2984,89872,8736139.95,902830,Car Parts Warehouse,WD,WD
222,2023-06,DRM,937,38105,81654738.36,903670,Factory Motor Parts,WD,WD
224,2023-06,HDW,9194,10216,1923421.39,903670,Factory Motor Parts,WD,WD
228,2023-06,PBK,840,4080,16349008.49,900003OH,Summit Racing,B2B,performance
229,2023-06,PRO,807,860,1489520.43,903580,Parts Authority,WD,WD
230,2023-06,SBH,849,75893,130057049.91,903670,Factory Motor Parts,WD,WD
231,2023-06,SEN,3458,28712,619012195.13,903670,Factory Motor Parts,WD,WD
243,2023-07,CAL,5708,775470,1917588685.86,900003OH,Summit Racing,B2B,performance
244,2023-07,COL,108,8920,3840686.01,902760,Turn 5 Inc,B2B,performance
246,2023-07,OEC,2872,140004,1594007689.19,903670,Factory Motor Parts,WD,WD
248,2023-07,ESP,712,19669,158764905.62,903670,Factory Motor Parts,WD,WD
249,2023-07,NXT,8949,220986,1002190007.74,903580,Parts Authority,WD,WD
252,2023-07,PST,425,32368,94581283.8,903670,Factory Motor Parts,WD,WD
253,2023-07,SHS,10116,185691,1545172204.99,903670,Factory Motor Parts,WD,WD
255,2023-07,Z16,13145,289255,2650234635.87,903580,Parts Authority,WD,WD
256,2023-07,Z17,168568,3855238,17227474102.64,903670,Factory Motor Parts,WD,WD
257,2023-07,Z23,12330,485478,1826978746.87,903670,Factory Motor Parts,WD,WD
258,2023-07,Z26,5568,288664,617743510.47,903670,Factory Motor Parts,WD,WD
259,2023-07,Z36,28586,1254893,2830528328.65,903670,Factory Motor Parts,WD,WD
260,2023-07,Z37,1144,47262,208083238.28,903670,Factory Motor Parts,WD,WD
263,2023-07,C36,1207,637189,461130720.68,900066,Amazon,B2B,performance
264,2023-07,CRK,5382,829678,1054127473.62,900066,Amazon,B2B,performance
265,2023-07,DBU,67,47280,14130145.74,900066,Amazon,B2B,performance
267,2023-07,ESK,482,71502,196313381.83,903670,Factory Motor Parts,WD,WD
272,2023-07,K26,3054,754560,1390169003.06,900003OH,Summit Racing,B2B,performance
273,2023-07,K36,10249,2932248,2717213177.05,900066,Amazon,B2B,performance
277,2023-07,KIT,13967,3224001,5713813086.4,900066,Amazon,B2B,performance
281,2023-07,OEK,30174,3672678,3800050074.23,900066,Amazon,B2B,performance
284,2023-07,TDK,80,13251,11982265.790000001,903670,Factory Motor Parts,WD,WD
285,2023-07,TDS,27,3296,20337270.790000003,903980,Parts Authority,WD,WD
288,2023-07,DSL,9304,1276287,3159320413.06,903670,Factory Motor Parts,WD,WD
290,2023-07,EVC,59308,2761178,10163241965.35,900120,TPH Holdings,WD,WD
292,2023-07,MVD,225,3560,119906031.42,900751,Mavis Tire Supply  Corp,WD,WD
295,2023-07,RTR,9100,353185,3632347374.5,900120,TPH Holdings,WD,WD
296,2023-07,SCR,9309,326632,351980464.71999997,900120,TPH Holdings,WD,WD
301,2023-07,BRG,2070,62347,8736139.95,902830,Car Parts Warehouse,WD,WD
303,2023-07,DRM,695,28710,81654738.36,903670,Factory Motor Parts,WD,WD
305,2023-07,HDW,1329,2064,1923421.39,903670,Factory Motor Parts,WD,WD
309,2023-07,PBK,351,1703,16349008.49,900003OH,Summit Racing,B2B,performance
310,2023-07,PRO,512,240,1489520.43,903580,Parts Authority,WD,WD
311,2023-07,SBH,778,70182,130057049.91,903670,Factory Motor Parts,WD,WD
312,2023-07,SEN,3820,31128,619012195.13,903670,Factory Motor Parts,WD,WD
324,2023-08,CAL,6138,862930,1917588685.86,900003OH,Summit Racing,B2B,performance
325,2023-08,COL,96,6663,3840686.01,902760,Turn 5 Inc,B2B,performance
327,2023-08,OEC,2601,125326,1594007689.19,903670,Factory Motor Parts,WD,WD
329,2023-08,ESP,456,12741,158764905.62,903670,Factory Motor Parts,WD,WD
330,2023-08,NXT,5637,139624,1002190007.74,903580,Parts Authority,WD,WD
333,2023-08,PST,294,21296,94581283.8,903670,Factory Motor Parts,WD,WD
334,2023-08,SHS,9543,175593,1545172204.99,903670,Factory Motor Parts,WD,WD
336,2023-08,Z16,10180,231733,2650234635.87,903580,Parts Authority,WD,WD
337,2023-08,Z17,155553,3576046,17227474102.64,903670,Factory Motor Parts,WD,WD
338,2023-08,Z23,10367,407702,1826978746.87,903670,Factory Motor Parts,WD,WD
339,2023-08,Z26,4996,260505,617743510.47,903670,Factory Motor Parts,WD,WD
340,2023-08,Z36,26676,1188205,2830528328.65,903670,Factory Motor Parts,WD,WD
341,2023-08,Z37,1084,45015,208083238.28,903670,Factory Motor Parts,WD,WD
344,2023-08,C36,1587,875430,461130720.68,900066,Amazon,B2B,performance
345,2023-08,CRK,5769,880556,1054127473.62,900066,Amazon,B2B,performance
346,2023-08,DBU,31,21434,14130145.74,900066,Amazon,B2B,performance
348,2023-08,ESK,411,60614,196313381.83,903670,Factory Motor Parts,WD,WD
353,2023-08,K26,2757,757755,1390169003.06,900003OH,Summit Racing,B2B,performance
354,2023-08,K36,8820,2813565,2717213177.05,900066,Amazon,B2B,performance
358,2023-08,KIT,15892,3830921,5713813086.4,900066,Amazon,B2B,performance
362,2023-08,OEK,29210,3532309,3800050074.23,900066,Amazon,B2B,performance
365,2023-08,TDK,47,7305,11982265.790000001,903670,Factory Motor Parts,WD,WD
366,2023-08,TDS,19,2639,20337270.790000003,903980,Parts Authority,WD,WD
369,2023-08,DSL,9108,1259237,3159320413.06,903670,Factory Motor Parts,WD,WD
371,2023-08,EVC,54293,2640419,10163241965.35,900120,TPH Holdings,WD,WD
376,2023-08,RTR,8100,315809,3632347374.5,900120,TPH Holdings,WD,WD
377,2023-08,SCR,9071,318225,351980464.71999997,900120,TPH Holdings,WD,WD
382,2023-08,BRG,1753,52798,8736139.95,902830,Car Parts Warehouse,WD,WD
384,2023-08,DRM,371,16523,81654738.36,903670,Factory Motor Parts,WD,WD
386,2023-08,HDW,2255,3499,1923421.39,903670,Factory Motor Parts,WD,WD
390,2023-08,PBK,135,587,16349008.49,900003OH,Summit Racing,B2B,performance
391,2023-08,PRO,292,20,1489520.43,903580,Parts Authority,WD,WD
392,2023-08,SBH,708,64042,130057049.91,903670,Factory Motor Parts,WD,WD
393,2023-08,SEN,4133,33638,619012195.13,903670,Factory Motor Parts,WD,WD
405,2023-09,CAL,6979,965198,1917588685.86,900003OH,Summit Racing,B2B,performance
406,2023-09,COL,145,26983,3840686.01,902760,Turn 5 Inc,B2B,performance
408,2023-09,OEC,2821,138985,1594007689.19,903670,Factory Motor Parts,WD,WD
410,2023-09,ESP,459,12738,158764905.62,903670,Factory Motor Parts,WD,WD
411,2023-09,NXT,5683,140926,1002190007.74,903580,Parts Authority,WD,WD
414,2023-09,PST,497,35826,94581283.8,903670,Factory Motor Parts,WD,WD
415,2023-09,SHS,9833,180882,1545172204.99,903670,Factory Motor Parts,WD,WD
417,2023-09,Z16,11714,264325,2650234635.87,903580,Parts Authority,WD,WD
418,2023-09,Z17,157185,3616039,17227474102.64,903670,Factory Motor Parts,WD,WD
419,2023-09,Z23,11130,435750,1826978746.87,903670,Factory Motor Parts,WD,WD
420,2023-09,Z26,6243,316015,617743510.47,903670,Factory Motor Parts,WD,WD
421,2023-09,Z36,25967,1172869,2830528328.65,903670,Factory Motor Parts,WD,WD
422,2023-09,Z37,1015,42303,208083238.28,903670,Factory Motor Parts,WD,WD
425,2023-09,C36,1608,876706,461130720.68,900066,Amazon,B2B,performance
426,2023-09,CRK,6736,1023611,1054127473.62,900066,Amazon,B2B,performance
427,2023-09,DBU,28,20186,14130145.74,900066,Amazon,B2B,performance
429,2023-09,ESK,391,57960,196313381.83,903670,Factory Motor Parts,WD,WD
434,2023-09,K26,3854,986191,1390169003.06,900003OH,Summit Racing,B2B,performance
435,2023-09,K36,12874,3742991,2717213177.05,900066,Amazon,B2B,performance
439,2023-09,KIT,19671,4588284,5713813086.4,900066,Amazon,B2B,performance
443,2023-09,OEK,35616,4293828,3800050074.23,900066,Amazon,B2B,performance
446,2023-09,TDK,49,6956,11982265.790000001,903670,Factory Motor Parts,WD,WD
447,2023-09,TDS,17,2504,20337270.790000003,903980,Parts Authority,WD,WD
450,2023-09,DSL,9913,1375810,3159320413.06,903670,Factory Motor Parts,WD,WD
452,2023-09,EVC,58154,2848342,10163241965.35,900120,TPH Holdings,WD,WD
454,2023-09,MVD,8494,239421,119906031.42,900751,Mavis Tire Supply  Corp,WD,WD
457,2023-09,RTR,8546,335860,3632347374.5,900120,TPH Holdings,WD,WD
458,2023-09,SCR,8603,302289,351980464.71999997,900120,TPH Holdings,WD,WD
463,2023-09,BRG,1752,52770,8736139.95,902830,Car Parts Warehouse,WD,WD
465,2023-09,DRM,134,5957,81654738.36,903670,Factory Motor Parts,WD,WD
467,2023-09,HDW,4814,5655,1923421.39,903670,Factory Motor Parts,WD,WD
471,2023-09,PBK,391,1860,16349008.49,900003OH,Summit Racing,B2B,performance
472,2023-09,PRO,2186,40,1489520.43,903580,Parts Authority,WD,WD
473,2023-09,SBH,785,70534,130057049.91,903670,Factory Motor Parts,WD,WD
474,2023-09,SEN,3824,29905,619012195.13,903670,Factory Motor Parts,WD,WD
486,2023-10,CAL,6230,875699,1917588685.86,900003OH,Summit Racing,B2B,performance
